Team Name,State,Primary Color (Hex)
Arizona Cardinals,Arizona,#97233F
Atlanta Falcons,Georgia,#A71930
Baltimore Ravens,Maryland,#241773
Buffalo Bills,New York,#00338D
Carolina Panthers,North Carolina,#0085CA
Chicago Bears,Illinois,#0B162A
Cincinnati Bengals,Ohio,#FB4F14
Cleveland Browns,Ohio,#311D00
Dallas Cowboys,Texas,#041E42
Denver Broncos,Colorado,#FB4F14
Detroit Lions,Michigan,#0076B6
Green Bay Packers,Wisconsin,#203731
Houston Texans,Texas,#03202F
Indianapolis Colts,Indiana,#002C5F
Jacksonville Jaguars,Florida,#006778
Kansas City Chiefs,Missouri,#E31837
Las Vegas Raiders,Nevada,#000000
Los Angeles Chargers,California,#0080C6
Los Angeles Rams,California,#003594
Miami Dolphins,Florida,#008E97
Minnesota Vikings,Minnesota,#4F2683
New England Patriots,Massachusetts,#002244
New Orleans Saints,Louisiana,#D3BC8D
New York Giants,New Jersey,#0B2265
New York Jets,New Jersey,#125740
Philadelphia Eagles,Pennsylvania,#004C54
Pittsburgh Steelers,Pennsylvania,#FFB612
San Francisco 49ers,California,#AA0000
Seattle Seahawks,Washington,#002244
Tampa Bay Buccaneers,Florida,#D50A0A
Tennessee Titans,Tennessee,#0C2340
Washington Commanders,Maryland,#5A1414
